,real,prediction
5,77.4333190918,77.4306184064
6,77.4333190918,77.4279192323
7,77.4333190918,77.4252215688
8,77.4333190918,77.4225254149
9,77.3666687012,77.4198888529
10,77.3666687012,77.4173118666
11,77.3666687012,77.4147363225
12,77.3666687012,77.4121041194
13,77.3333129883,77.4095314897
14,77.3333129883,77.4069602995
15,77.3333129883,77.4043905483
16,77.3333129883,77.4018222352
17,77.3333129883,77.3992553594
18,77.3333129883,77.3966318198
19,77.3333129883,77.3940097484
20,77.3333129883,77.3914472446
21,77.3333129883,77.3889442579
22,77.3333129883,77.386500755
23,77.3222045899,77.3840586196
24,77.3110961914,77.3815839676
25,77.299987793,77.3790768173
26,77.2888793946,77.3765371867
27,77.2777709961,77.3739650942
28,77.2666625977,77.3713605578
29,77.2666625977,77.3687235957
30,77.2666625977,77.3659428929
31,77.2666625977,77.3630475801
32,77.299987793,77.3600958045
33,77.299987793,77.3570730811
34,77.299987793,77.3539939661
35,77.2333374023,77.3509165744
36,77.2333374023,77.3477537544
37,77.1999816895,77.3445346214
38,77.1999816895,77.3412592067
39,77.1999816895,77.337985625
40,77.1999816895,77.3347719584
41,77.1999816895,77.3315600902
42,77.1999816895,77.3283500195
43,77.1999816895,77.3251417452
44,77.2333068848,77.3219933493
45,77.2333068848,77.3188467154
46,77.2333068848,77.3157599427
47,77.2333068848,77.3126748973
48,77.2333068848,77.3095915784
49,77.2166442871,77.3065099849
50,77.1999816895,77.3034010659
51,77.1999816895,77.3002648366
52,77.1999816895,77.2971884626
53,77.1999816895,77.2941138102
54,77.1999816895,77.2910408785
55,77.1999816895,77.2880277495
56,77.1999816895,77.2850163067
57,77.1999816895,77.2820065492
58,77.1999816895,77.278998476
59,77.1999816895,77.2759920862
60,77.1999816895,77.2733515004
61,77.1333312988,77.2706611689
62,77.1333312988,77.2679721604
63,77.1333312988,77.2652844745
64,77.1333312988,77.2625470509
65,77.1333312988,77.2597599293
66,77.1333312988,77.2569401487
67,77.1333312988,77.2540877254
68,77.1333312988,77.2512026753
69,77.1333312988,77.248319044
70,77.1333312988,77.245436831
71,77.1333312988,77.2425560354
72,77.1333312988,77.2396766566
73,77.0666503906,77.2368497383
74,77.0333251953,77.2340242102
75,77.0333251953,77.2313021606
76,77.0333251953,77.2285814496
77,77.0333251953,77.2259131362
78,77.0333251953,77.2232971793
79,77.0333251953,77.220682509
80,77.0333251953,77.2180691247
81,77.0333251953,77.2154570256
82,77.0333251953,77.2128462111
83,77.0333251953,77.2102366806
84,77.0333251953,77.2075263297
85,77.0,77.2047662674
86,77.0,77.2020075625
87,76.9666442871,77.1992502144
88,76.9666442871,77.1964942223
89,76.9666442871,77.19379063
90,76.9666442871,77.1910883674
91,76.9666442871,77.1884895375
92,76.9666442871,77.1860068318
93,76.9666442871,77.1836019212
94,76.9666442871,77.1811981934
95,76.9666442871,77.1788466921
96,76.9666442871,77.1764963473
97,76.9333190918,77.1741471584
98,76.9333190918,77.1717991248
99,76.9333190918,77.1693501573
100,76.8999938965,77.1668513497
101,76.8999938965,77.1643537711
102,76.8999938965,77.1618574208
103,76.8999938965,77.1593622982
104,76.8999938965,77.1568684027
105,76.8999938965,77.1542864023
106,76.8999938965,77.1517056717
107,76.9333190918,77.149075166
108,76.9333190918,77.1463948946
109,76.8999938965,77.1436648969
110,76.8999938965,77.1408851974
111,76.8999938965,77.1380558207
