on,hour,t_pre_dis,tou_dis,t_value
0.0,0.0,75.0,56.0,74.6638748169
0.0,0.0,77.0,57.0,76.7677652995
0.0,0.0,77.0,59.0,76.2514709692
0.0,0.0,75.0,60.0,75.0466537475
0.0,0.0,77.0,60.0,76.8024861653
0.0,0.0,79.0,62.0,78.393321991
0.0,0.0,74.0,64.0,74.3938842774
0.0,0.0,75.0,64.0,75.3905451457
0.0,0.0,78.0,64.0,77.8249888102
0.0,0.0,77.0,65.0,76.9477666219
0.0,0.0,73.0,66.0,73.376732798
0.0,0.0,78.0,66.0,78.3944300334
0.0,0.0,78.0,71.0,78.0869318645
0.0,0.0,77.0,72.0,76.9977661133
0.0,0.0,80.0,73.0,80.056656901
0.0,0.0,79.0,76.0,79.2427647909
0.0,0.0,80.0,76.0,80.4955398559
0.0,0.0,79.0,77.0,79.6794265747
0.0,1.0,74.0,52.0,74.1344314575
0.0,1.0,76.0,53.0,76.1983225505
0.0,1.0,76.0,57.0,75.4961505484
0.0,1.0,75.0,58.0,74.6944274902
0.0,1.0,76.0,58.0,76.0777699788
0.0,1.0,78.0,58.0,77.6644322713
0.0,1.0,76.0,59.0,76.5033228556
0.0,1.0,76.0,63.0,76.478322347
0.0,1.0,77.0,63.0,77.3110977173
0.0,1.0,78.0,63.0,77.9266489665
0.0,1.0,74.0,64.0,74.3355367025
0.0,1.0,75.0,64.0,75.1372095744
0.0,1.0,77.0,65.0,77.4911010742
0.0,1.0,73.0,66.0,73.3856090794
0.0,1.0,80.0,68.0,79.7172083537
0.0,1.0,76.0,71.0,76.7461008708
0.0,1.0,78.0,71.0,78.1308222453
0.0,1.0,80.0,73.0,80.3394343059
0.0,1.0,79.0,76.0,79.0166549682
0.0,1.0,79.0,77.0,79.3988800049
0.0,2.0,74.0,52.0,73.6138783773
0.0,2.0,76.0,52.0,75.6102648417
0.0,2.0,75.0,55.0,74.8389190913
0.0,2.0,77.0,56.0,76.9922114055
0.0,2.0,76.0,57.0,75.524991862
0.0,2.0,74.0,59.0,74.3938802083
0.0,2.0,76.0,59.0,76.0944335937
0.0,2.0,76.0,61.0,75.9838760376
0.0,2.0,77.0,61.0,77.4160985311
0.0,2.0,77.0,62.0,76.9359580993
0.0,2.0,74.0,63.0,74.286102295
0.0,2.0,75.0,64.0,74.9035975138
0.0,2.0,73.0,65.0,73.3944853608
0.0,2.0,79.0,67.0,79.3755493164
0.0,2.0,79.0,69.0,79.0566533407
0.0,2.0,76.0,70.0,76.5016560872
0.0,2.0,78.0,70.0,77.9669296265
0.0,2.0,80.0,71.0,80.1388824463
0.0,2.0,79.0,75.0,78.7577636719
0.0,3.0,73.0,51.0,73.1149856567
0.0,3.0,75.0,51.0,75.0638737996
0.0,3.0,74.0,54.0,74.2846591186
0.0,3.0,76.0,55.0,76.3894317627
0.0,3.0,76.0,56.0,75.648878479
0.0,3.0,75.0,57.0,75.057766215
0.0,3.0,74.0,58.0,74.1388829549
0.0,3.0,75.0,60.0,75.2710973104
0.0,3.0,77.0,60.0,76.7810943604
0.0,3.0,76.0,61.0,76.363319397
0.0,3.0,77.0,61.0,76.4066502889
0.0,3.0,74.0,63.0,74.3797091166
0.0,3.0,74.0,64.0,74.1866536458
0.0,3.0,73.0,65.0,73.4033616422
0.0,3.0,76.0,65.0,76.2383199056
0.0,3.0,79.0,65.0,78.9422108968
0.0,3.0,77.0,68.0,77.4052617391
0.0,3.0,79.0,69.0,78.7241579692
0.0,3.0,80.0,72.0,79.9383244832
0.0,3.0,78.0,73.0,78.476095581
0.0,4.0,75.0,49.0,74.5499903361
0.0,4.0,73.0,50.0,72.6594324748
0.0,4.0,74.0,53.0,73.8302521079
0.0,4.0,75.0,54.0,75.0749847412
0.0,4.0,76.0,54.0,75.8588734945
0.0,4.0,75.0,55.0,74.6277654012
0.0,4.0,74.0,58.0,73.9349822998
0.0,4.0,76.0,58.0,76.2510986328
0.0,4.0,76.0,59.0,75.9588762919
0.0,4.0,75.0,60.0,74.6833211263
0.0,4.0,76.0,60.0,75.8038742065
0.0,4.0,74.0,62.0,74.0094340006
0.0,4.0,76.0,63.0,75.9038752238
0.0,4.0,78.0,63.0,78.2777633667
0.0,4.0,74.0,64.0,74.0383148193
0.0,4.0,73.0,65.0,73.4122379235
0.0,4.0,77.0,68.0,76.7933156331
0.0,4.0,78.0,69.0,78.2616592407
0.0,4.0,78.0,71.0,78.0183202108
0.0,4.0,79.0,73.0,79.6227630615
0.0,5.0,74.0,51.0,73.8205459595
0.0,5.0,72.0,53.0,72.4316502889
0.0,5.0,73.0,55.0,73.6329279209
0.0,5.0,75.0,55.0,74.5422119141
0.0,5.0,74.0,57.0,73.9516606649
0.0,5.0,75.0,57.0,74.6455464681
0.0,5.0,73.0,58.0,73.7527674357
0.0,5.0,75.0,60.0,74.5688735962
0.0,5.0,74.0,61.0,73.7949869792
0.0,5.0,75.0,61.0,74.5399876913
0.0,5.0,76.0,61.0,74.5822092692
0.0,5.0,75.0,63.0,75.5574900309
0.0,5.0,73.0,65.0,73.4211142049
0.0,5.0,74.0,65.0,73.6099904378
0.0,5.0,76.0,65.0,74.9635953267
0.0,5.0,78.0,66.0,75.00165507
0.0,5.0,78.0,70.0,75.3377683004
0.0,5.0,78.0,71.0,75.2722081502
0.0,5.0,79.0,72.0,75.7388763428
0.0,6.0,74.0,58.0,73.6210952759
0.0,6.0,73.0,61.0,73.5136657855
0.0,6.0,73.0,62.0,73.4133178711
0.0666666666667,6.0,73.0,62.0,73.1863792419
0.0,6.0,72.0,63.0,72.197756958
0.15,6.0,74.0,63.0,73.4977640788
0.0,6.0,73.0,65.0,73.4332549853
0.0666666666667,6.0,73.0,65.0,73.3966522217
0.116666666667,6.0,74.0,65.0,73.5838780721
0.133333333333,6.0,75.0,65.0,74.4210973104
0.0833333333333,6.0,73.0,66.0,73.356652832
0.0666666666667,6.0,73.0,68.0,73.5133244832
0.166666666667,6.0,74.0,72.0,73.612763977
0.283333333333,6.0,74.0,72.0,73.5444335937
0.533333333333,6.0,75.0,72.0,73.5927678426
0.733333333333,6.0,75.0,73.0,73.5916534424
0.166666666667,6.0,74.0,74.0,73.5738805135
0.483333333333,6.0,75.0,74.0,73.6122095744
0.466666666667,6.0,75.0,76.0,73.5805455526
0.0833333333333,7.0,73.0,62.0,74.5313779195
0.0,7.0,72.0,63.0,73.0622105916
0.0,7.0,73.0,63.0,73.5594337464
0.0,7.0,73.0,64.0,73.5455454508
0.0,7.0,73.0,66.0,73.3944036502
0.0,7.0,73.0,67.0,73.4527664185
0.0833333333333,7.0,73.0,67.0,73.4874883016
0.116666666667,7.0,73.0,67.0,73.6277608236
0.0666666666667,7.0,73.0,68.0,73.4030464172
0.15,7.0,73.0,68.0,73.5908215841
0.0833333333333,7.0,73.0,69.0,73.6233194987
0.2,7.0,74.0,71.0,73.7072082519
0.2,7.0,73.0,73.0,73.5819394429
0.0833333333333,7.0,73.0,74.0,73.6805470784
0.266666666667,7.0,73.0,75.0,73.6272104899
0.0833333333333,7.0,73.0,76.0,73.5877614339
0.3,7.0,73.0,76.0,73.6410985311
0.183333333333,7.0,73.0,78.0,73.7472106933
0.333333333333,7.0,73.0,80.0,73.5961034139
0.0,8.0,73.0,63.0,73.5960942586
0.166666666667,8.0,73.0,64.0,73.6385991414
0.1,8.0,73.0,65.0,73.4472084045
0.0833333333333,8.0,74.0,66.0,74.6422088623
0.0,8.0,73.0,67.0,73.2625256893
0.15,8.0,73.0,67.0,73.5822102865
0.0833333333333,8.0,73.0,69.0,73.4633199056
0.183333333333,8.0,73.0,69.0,73.6216542562
0.25,8.0,73.0,69.0,73.5744323731
0.2,8.0,73.0,71.0,73.5155390422
0.133333333333,8.0,73.0,72.0,73.7022115072
0.183333333333,8.0,73.0,72.0,73.598027237
0.25,8.0,73.0,72.0,73.6333206177
0.233333333333,8.0,73.0,73.0,73.7149917603
0.283333333333,8.0,73.0,74.0,73.6145592584
0.333333333333,8.0,73.0,74.0,73.670543925
0.3,8.0,73.0,75.0,73.7183247884
0.333333333333,8.0,73.0,78.0,73.8205454508
0.333333333333,8.0,73.0,79.0,73.7211016337
0.316666666667,8.0,73.0,83.0,73.8499842326
0.0833333333333,9.0,73.0,67.0,73.4877670288
0.15,9.0,73.0,67.0,73.5244389852
0.3,9.0,73.0,68.0,73.6399917603
0.0,9.0,73.0,69.0,73.2435885774
0.266666666667,9.0,74.0,69.0,74.6449905396
0.1,9.0,73.0,71.0,73.4372111003
0.25,9.0,73.0,71.0,73.7388743083
0.166666666667,9.0,73.0,72.0,73.7199895223
0.25,9.0,73.0,72.0,73.6444325765
0.166666666667,9.0,73.0,73.0,73.6633199056
0.2,9.0,73.0,73.0,73.6433197022
0.183333333333,9.0,73.0,75.0,73.7118069119
0.35,9.0,73.0,75.0,73.7416570028
0.383333333333,9.0,73.0,75.0,73.885546875
0.0833333333333,9.0,73.0,76.0,73.6062687758
0.3,9.0,73.0,78.0,73.7510991414
0.35,9.0,73.0,79.0,73.6494298299
0.35,9.0,73.0,81.0,73.7744262695
0.5,9.0,73.0,85.0,73.8966537476
0.516666666667,9.0,73.0,89.0,74.0155420939
0.0,10.0,73.0,69.0,73.2524648588
0.0666666666667,10.0,73.0,70.0,73.5661046346
0.15,10.0,73.0,71.0,73.6722137451
0.166666666667,10.0,73.0,71.0,73.7177703857
0.2,10.0,73.0,71.0,73.7072113037
0.166666666667,10.0,73.0,72.0,73.417207845
0.116666666667,10.0,73.0,73.0,73.6958185832
0.383333333333,10.0,74.0,73.0,74.755545044
0.283333333333,10.0,73.0,74.0,73.754431661
0.266666666667,10.0,73.0,76.0,73.5644302368
0.383333333333,10.0,73.0,76.0,73.6655426025
0.2,10.0,73.0,77.0,73.7927642822
0.0,10.0,73.0,78.0,73.5345209917
0.4,10.0,73.0,78.0,73.8505432129
0.416666666667,10.0,73.0,78.0,73.7322107951
0.35,10.0,73.0,82.0,73.7799916585
0.466666666667,10.0,73.0,82.0,73.7977630615
0.35,10.0,73.0,85.0,73.868044281
0.566666666667,10.0,73.0,88.0,73.9377634684
0.8,10.0,74.0,96.0,74.0411005656
0.0,11.0,73.0,69.0,73.2613411401
0.116666666667,11.0,73.0,71.0,73.4533248901
0.0833333333333,11.0,73.0,72.0,73.7552635193
0.166666666667,11.0,73.0,72.0,73.6599868774
0.25,11.0,73.0,73.0,73.6394332886
0.283333333333,11.0,73.0,73.0,73.8749872844
0.366666666667,11.0,74.0,76.0,74.8194376628
0.433333333333,11.0,73.0,77.0,73.9099868775
0.333333333333,11.0,73.0,78.0,73.6510978699
0.35,11.0,73.0,78.0,73.7572102864
0.416666666667,11.0,73.0,79.0,73.7322077433
0.483333333333,11.0,73.0,79.0,73.7905436198
0.0,11.0,73.0,80.0,73.4627732076
0.383333333333,11.0,73.0,81.0,73.8383173625
0.516666666667,11.0,73.0,81.0,73.9283208212
0.5,11.0,73.0,85.0,73.9522125244
0.516666666667,11.0,73.0,85.0,73.7905390422
0.233333333333,11.0,73.0,89.0,73.9881357829
0.65,11.0,73.0,90.0,73.9272158305
0.766666666667,11.0,74.0,99.0,74.0358301799
0.0,12.0,73.0,69.0,73.2702174215
0.0833333333333,12.0,73.0,72.0,73.6549888611
0.1,12.0,73.0,72.0,73.5824887594
0.216666666667,12.0,73.0,75.0,73.6272074381
0.4,12.0,73.0,75.0,74.5828183196
