,real,prediction
0,77.5,77.5020899172
1,77.5,77.5041721396
2,77.4666595459,77.5064124356
3,77.4333190918,77.5088102233
4,77.4333190918,77.5113649228
5,77.4333190918,77.5139102162
6,77.4333190918,77.5164461382
7,77.4333190918,77.5189727234
8,77.4333190918,77.5214900061
9,77.3666687012,77.5241637606
10,77.3666687012,77.5269934595
11,77.3666687012,77.5298127399
12,77.3666687012,77.5324558513
13,77.3333129883,77.53525502
14,77.3333129883,77.5380438826
15,77.3333129883,77.540822477
16,77.3333129883,77.543590841
17,77.3333129883,77.5463490124
18,77.3333129883,77.5489312398
19,77.3333129883,77.5515039598
20,77.3333129883,77.5542329962
21,77.3333129883,77.5571177249
22,77.3333129883,77.5601575724
23,77.3222045899,77.5631862277
24,77.3110961914,77.5661070461
25,77.299987793,77.5689204248
26,77.2888793946,77.5716267593
27,77.2777709961,77.5742264438
28,77.2666625977,77.5767198708
29,77.2666625977,77.5791074316
30,77.2666625977,77.5810718273
31,77.2666625977,77.5826975102
32,77.299987793,77.5841514676
33,77.299987793,77.5853929088
34,77.299987793,77.5864640392
35,77.2333374023,77.5875312258
36,77.2333374023,77.5883458
37,77.1999816895,77.5889916351
38,77.1999816895,77.5894693521
39,77.1999816895,77.5899453103
40,77.1999816895,77.5905852562
41,77.1999816895,77.5912228459
42,77.1999816895,77.5918580881
43,77.1999816895,77.5924909914
44,77.2333068848,77.5932873045
45,77.2333068848,77.5940806857
46,77.2333068848,77.5950369346
47,77.2333068848,77.5959896627
48,77.2333068848,77.596938883
49,77.2166442871,77.5978846085
50,77.1999816895,77.5987439575
51,77.1999816895,77.5995172481
52,77.1999816895,77.6004534804
53,77.1999816895,77.6013862657
54,77.1999816895,77.6023156165
55,77.1999816895,77.6034072857
56,77.1999816895,77.6044949355
57,77.1999816895,77.6055785808
58,77.1999816895,77.6066582362
59,77.1999816895,77.6077339166
60,77.1999816895,77.6088056364
61,77.1333312988,77.6097076703
62,77.1333312988,77.610606383
63,77.1333312988,77.6115017867
64,77.1333312988,77.612228105
65,77.1333312988,77.612786009
66,77.1333312988,77.6132313655
67,77.1333312988,77.6135645889
68,77.1333312988,77.613786092
69,77.1333312988,77.6140067796
70,77.1333312988,77.6142266547
71,77.1333312988,77.6144457202
72,77.1333312988,77.6146639791
73,77.0666503906,77.6150471746
74,77.0333251953,77.6154289591
75,77.0333251953,77.6161408181
76,77.0333251953,77.6168500561
77,77.0333251953,77.6177224717
78,77.0333251953,77.6187574151
79,77.0333251953,77.6197885481
80,77.0333251953,77.6208158846
81,77.0333251953,77.6218394386
82,77.0333251953,77.6228592241
83,77.0333251953,77.6238752548
84,77.0333251953,77.6245560158
85,77.0,77.6250685303
86,77.0,77.6255791578
87,76.9666442871,77.6260879053
88,76.9666442871,77.6265947796
89,76.9666442871,77.6272655277
90,76.9666442871,77.6279338063
91,76.9666442871,77.6289311532
92,76.9666442871,77.630297731
93,76.9666442871,77.6319079117
94,76.9666442871,77.6335121639
