,on,t,tout,tdis,t_pre,hour,weekday,il
1148,0.0,77.4333190918,72.4205688476,77.0965270996,77.4799957275,0.0,2.0,-0.102483601495
1149,0.0,77.3599975586,72.628149414,77.0602050781,77.4333190918,0.0,2.0,-0.129737274027
1150,0.0,77.3333129883,72.7942382812,77.0083068848,77.3599975586,0.0,2.0,-0.0836735380529
1151,0.0,77.3310913086,72.7734741211,76.9771728516,77.3333129883,0.0,2.0,-0.0592248228544
1152,0.0,77.2888793946,72.9481994629,76.9131632487,77.3310913086,0.0,2.0,-0.0996387262887
1153,0.0,77.2799926758,72.7803955078,76.8802998861,77.2888793946,0.0,2.0,-0.0660128226005
1154,0.0,77.2333251953,72.0988220215,76.8526245117,77.2799926758,0.0,2.0,-0.102182951818
1155,0.0,77.1999816895,71.6265441894,76.8214782715,77.2333251953,0.0,2.0,-0.0878399265135
1156,0.0,77.2333068848,71.6161560058,76.7695922852,77.1999816895,0.0,2.0,-0.0212261879746
1157,0.0,77.203314209,71.782244873,76.7384399414,77.2333068848,0.0,2.0,-0.0848619387963
1158,0.0,77.1999816895,71.771862793,76.6943054199,77.203314209,0.0,2.0,-0.0582487366867
1159,0.0,77.1599914551,71.9067993164,76.6917114258,77.1999816895,0.0,2.0,-0.0952375129701
1160,0.0,77.1333312988,71.8030029297,76.639831543,77.1599914551,1.0,2.0,-0.0817546620396
1161,0.0,77.1199951172,71.4708496094,76.6086914062,77.1333312988,1.0,2.0,-0.0676992366305
1162,0.0,77.0333251953,71.4293334961,76.6294433594,77.1199951172,1.0,2.0,-0.140965504943
1163,0.0,77.0333251953,71.8029968262,76.6086914062,77.0333251953,1.0,2.0,-0.0553977716456
1164,0.0,76.9933227539,71.8652770996,76.5983093262,77.0333251953,1.0,2.0,-0.0955493324221
1165,0.0,76.9666442871,71.6161560058,76.5567871094,76.9933227539,1.0,2.0,-0.0817246592645
1166,0.0,76.953314209,72.0676696777,76.5152709961,76.9666442871,1.0,2.0,-0.0695212191923
1167,0.0,76.9066589356,72.3582946777,76.5048950195,76.953314209,1.0,2.0,-0.10357418252
1168,0.0,76.9133239746,72.0884399414,76.5152770996,76.9066589356,1.0,2.0,-0.0497194574893
1169,0.0,76.8933227539,71.7822387695,76.4737548828,76.9133239746,1.0,2.0,-0.0756366129906
1170,0.0,76.8666381836,71.4085754394,76.4633789062,76.8933227539,1.0,2.0,-0.0814731796469
1171,0.0,76.8466430664,71.2217529297,76.421862793,76.8666381836,1.0,2.0,-0.0744003038614
1172,0.0,76.8333129883,70.7650512695,76.4114868164,76.8466430664,2.0,2.0,-0.0666896462397
1173,0.0,76.8266479492,70.8325317383,76.4322509766,76.8333129883,2.0,2.0,-0.0602180941611
1174,0.0,76.799987793,70.8948059082,76.4426269531,76.8266479492,2.0,2.0,-0.0803782743108
1175,0.0,76.7666625977,70.9570739746,76.3803466797,76.799987793,2.0,2.0,-0.0872562367071
1176,0.0,76.7666625977,70.6872070312,76.3699645996,76.7666625977,2.0,2.0,-0.053364682975
1177,0.0,76.7533325195,70.355065918,76.3492004394,76.7666625977,2.0,2.0,-0.0658995065461
1178,0.0,76.7199951172,70.2720336914,76.3803466797,76.7533325195,2.0,2.0,-0.0857399408696
1179,0.0,76.6999816895,70.0021789551,76.3803466797,76.7199951172,2.0,2.0,-0.0718496662928
1180,0.0,76.6733215332,69.8776306152,76.3284362793,76.6999816895,2.0,2.0,-0.0782461040691
1181,0.0,76.6333312988,69.5195251465,76.2557861328,76.6733215332,2.0,2.0,-0.0907825935153
1182,0.0,76.6333312988,68.331072998,76.203894043,76.6333312988,2.0,2.0,-0.0480425650758
1183,0.0,76.6133178711,67.5889282226,76.131237793,76.6333312988,2.0,2.0,-0.0662790550692
1184,0.0,76.5999755859,66.7793273926,76.05859375,76.6133178711,3.0,2.0,-0.0577173816724
1185,0.0,76.5733154297,66.6028717041,76.05859375,76.5999755859,3.0,2.0,-0.0706447057517
1186,0.0,76.5333251953,66.4679382324,76.0066894531,76.5733154297,3.0,2.0,-0.0837155421658
1187,0.0,76.5333251953,66.7689758301,75.9236633301,76.5333251953,3.0,2.0,-0.0445418401109
1188,0.0,76.5333251953,66.7378173828,75.7575744629,76.5333251953,3.0,2.0,-0.0444672365811
1189,0.0,76.5333251953,66.3070678711,75.6952819824,76.5333251953,3.0,2.0,-0.0434358811437
1190,0.0,76.4933227539,65.8296142578,75.6641357422,76.5333251953,3.0,2.0,-0.0822951421876
1191,0.0,76.4333190918,65.4144348144,75.6329956054,76.4933227539,3.0,2.0,-0.101398066243
1192,0.0,76.4333190918,65.1809082031,75.5499633789,76.4333190918,3.0,2.0,-0.0409789333594
1193,0.0,76.3733337403,64.8072570801,75.4617553711,76.4333190918,3.0,2.0,-0.100069641669
1194,0.0,76.3666687012,64.4024291992,75.3890991211,76.3733337403,3.0,2.0,-0.045923663289
1195,0.0,76.3466552735,64.0287841797,75.2437988281,76.3666687012,3.0,2.0,-0.0583933815993
1196,0.0,76.3333129883,63.8679138184,75.1503845215,76.3466552735,4.0,2.0,-0.0513849814579
1197,0.0,76.3333129883,63.670690918,75.0362182617,76.3333129883,4.0,2.0,-0.0376024258289
1198,0.0,76.3133178711,63.5046020508,75.0050720215,76.3333129883,4.0,2.0,-0.0571998718728
1199,0.0,76.299987793,63.1620910644,74.9428039551,76.3133178711,4.0,2.0,-0.0497626241311
1200,0.0,76.2733276368,62.7728515625,74.8909057617,76.299987793,4.0,2.0,-0.0621926519289
1201,0.0,76.1999816895,62.6794311523,74.8286315918,76.2733276368,4.0,2.0,-0.108718597111
1202,0.0,76.1866516113,62.6171569824,74.7248168945,76.1999816895,4.0,2.0,-0.0487292374733
1203,0.0,76.1666564941,62.5341247558,74.6210021972,76.1866516113,4.0,2.0,-0.0552273866967
1204,0.0,76.1666564941,62.5237365722,74.5587341308,76.1666564941,4.0,2.0,-0.0352552716428
1205,0.0,76.1333312988,62.565246582,74.4964599609,76.1666564941,4.0,2.0,-0.0686798555043
1206,0.0,76.1066467285,63.0946411133,74.4082336426,76.1333312988,4.0,2.0,-0.0633865658674
1207,0.0,76.0799804687,63.452722168,74.4030395508,76.1066467285,4.0,2.0,-0.0642895103165
1208,0.0,76.0466552734,63.743347168,74.4289916992,76.0799804687,5.0,2.0,-0.0717081450318
1209,0.0,75.9933288574,63.5046264648,74.6313903808,76.0466552734,5.0,2.0,-0.0912175816017
1210,0.0,75.9666442871,62.6950073242,74.7455810547,75.9933288574,5.0,2.0,-0.0627649233701
1211,0.0,75.9466491699,62.7624816894,74.7144348144,75.9666442871,5.0,2.0,-0.0563009176066
1212,0.0,75.9066589356,62.7469116211,74.6106262207,75.9466491699,5.0,2.0,-0.0763066297232
1213,0.0,75.8866516113,62.6690368652,74.4756958008,75.9066589356,5.0,2.0,-0.0562330117682
1214,0.0,75.8199829102,62.6482910156,74.3615234375,75.8866516113,5.0,2.0,-0.102892620297
1215,0.0,75.799987793,62.944140625,74.2836853027,75.8199829102,5.0,2.0,-0.057087023987
1216,0.0,75.799987793,63.4319519043,74.3822875976,75.799987793,5.0,2.0,-0.0383077616492
1217,0.0,75.799987793,63.8782836914,74.4549377441,75.799987793,5.0,2.0,-0.0393764261584
1218,0.0,75.799987793,63.6914428711,74.589868164,75.799987793,5.0,2.0,-0.0389290680286
1219,0.0,75.7533325195,63.7952514648,74.6729064941,75.799987793,5.0,2.0,-0.0858328933079
1220,0.0,75.7333374023,64.033984375,74.7455810547,75.7533325195,6.0,2.0,-0.0598560498081
1221,0.0,75.6966552734,64.0391662598,74.8493865967,75.7333374023,6.0,2.0,-0.0766033434985
1222,0.0,75.6666564941,64.2156188965,74.9324279785,75.6966552734,6.0,2.0,-0.0704303083467
1223,0.0,75.6666564941,64.4024414062,74.9739379883,75.6666564941,6.0,2.0,-0.0409506702397
1224,0.0,75.6666564941,64.9006591797,75.0777282715,75.6666564941,6.0,2.0,-0.0421435667973
1225,0.0,75.6666564941,65.2016540527,74.2006591797,75.6666564941,6.0,2.0,-0.0428642471242
1226,0.0,75.6133178711,65.6220153808,74.2940673828,75.6666564941,6.0,2.0,-0.097209352847
1227,0.0,75.5333251953,66.1565795898,74.6106323242,75.6133178711,6.0,2.0,-0.125271037614
1228,0.0,75.5333251953,66.5821289062,74.8805297852,75.5333251953,6.0,2.0,-0.0464887949505
1229,0.4,75.3799804687,66.914276123,72.8098144531,75.5333251953,6.0,2.0,-0.0608460840208
1230,1.0,74.7799804688,67.4176696777,53.2237548828,75.3799804687,6.0,2.0,-0.299399743744
1231,0.2,74.3399841309,67.8120910644,61.0239196777,74.7799804688,6.0,2.0,-0.421342465845
1232,0.0,74.2333190918,68.1649902344,72.9239685058,74.3399841309,7.0,2.0,-0.159800972016
1233,0.0,74.3933288574,69.4520568848,74.5639343262,74.2333190918,7.0,2.0,0.103536782456
1234,0.0,74.4333190918,71.4033935547,75.4928894043,74.3933288574,7.0,2.0,-0.0207717721621
1235,0.0,74.6133300781,72.3479248047,75.9547973633,74.4333190918,7.0,2.0,0.117083212234
1236,0.0,74.7866577149,72.1195739746,76.1208618164,74.6133300781,7.0,2.0,0.111377614695
1237,0.0,74.799987793,72.2752624512,76.2350341797,74.7866577149,7.0,2.0,-0.0485777100773
1238,0.0,74.959979248,72.8876647949,76.541217041,74.799987793,7.0,2.0,0.0966492915727
1239,1.0,74.5399841309,72.9603088379,60.8682312012,74.959979248,7.0,2.0,-0.133671375278
1240,0.2,74.4333190918,72.9810668945,64.3868591308,74.5399841309,7.0,2.0,-0.100962018304
1241,0.6,73.9199829101,72.7838745117,70.573034668,74.4333190918,7.0,2.0,-0.367633702016
1242,0.6,73.5999755859,73.0329711914,54.453717041,73.9199829101,7.0,2.0,-0.176130358546
1243,0.0,73.4933105469,72.8149963379,71.8289489746,73.5999755859,7.0,2.0,-0.172706432664
1244,0.0,73.799987793,72.9084289551,75.7523803711,73.4933105469,8.0,2.0,0.240156753098
1245,0.0,73.799987793,72.898046875,76.4011047363,73.799987793,8.0,2.0,-0.0657613491114
1246,0.0,74.2066467285,72.617779541,76.5879333496,73.799987793,8.0,2.0,0.341568638197
1247,1.0,73.8733215332,72.6385437012,60.6035522461,74.2066467285,8.0,2.0,-0.0480347671664
1248,0.6,73.3133239746,72.9187866211,53.4936218262,73.8733215332,8.0,2.0,-0.415958920302
1249,0.0,73.1599853515,72.898034668,72.0884277344,73.3133239746,8.0,2.0,-0.220265175588
1250,0.0,73.5466552734,73.2665039062,76.0897155762,73.1599853515,8.0,2.0,0.318493990456
1251,0.0,73.8799804687,73.7751098633,76.8578063965,73.5466552734,8.0,2.0,0.264857309044
1252,0.4,74.0733215332,73.9308105469,75.0258239746,73.8799804687,8.0,2.0,0.265081176284
