,Unnamed: 0,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
0,0,21.275,0.0,10247.059048438321,22.850779306281773,22.74503455990509,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,124.10164412924117,1201862.4709268815
1,1,21.55,0.0,10247.059048438321,22.84815160675833,22.826084629274348,24.0,24.0,24.0,24.0,24.0,24.0,107.16161281687552,838777.1766385734
2,2,21.825,0.0,10247.059048438321,22.68744483892216,22.83873489991737,23.99999999999999,23.99999999999999,23.99999999999999,23.99999999999999,23.99999999999999,23.99999999999999,93.00288917919342,608804.8322502056
3,3,22.1,0.0,10247.059048438321,22.696777102242336,22.84947611441689,24.09000000000001,24.09000000000001,24.09000000000001,24.09000000000001,24.09000000000001,24.09000000000001,93.00288917919347,606041.2138079116
4,4,22.375,0.0,10247.059048438321,22.682859476013714,22.877038843864693,24.09,24.09,24.09,24.09,24.09,24.09,93.00288917919345,587358.4050240009
5,5,22.65,0.0,10247.059048438321,22.676177874058524,22.887454136011108,24.09,24.09,24.09,24.09,24.09,24.09,93.00288917919345,580353.9495157867
6,6,22.925,0.0,10247.059048438321,22.687776760832087,22.88962591695116,24.17,24.17,24.17,24.17,24.17,24.17,93.00288917919345,598745.7545668869
7,7,23.2,0.0,10247.059048438321,22.68783423751089,22.89296141146191,24.17,24.17,24.17,24.17,24.17,24.17,93.00288917919345,572500.9277582262
8,8,23.475,0.0,10247.059048438321,22.6878503271536,22.89749290907617,24.17,24.17,24.17,24.17,24.17,24.17,93.00288917919345,581344.6586965881
9,9,23.75,0.0,10247.059048438321,22.696513981832663,22.901775088481564,24.22,24.22,24.22,24.22,24.22,24.22,93.00288917919345,589156.4110987311
10,10,24.025,0.0,10247.059048438321,22.697369496350824,22.90709946539098,24.22,24.22,24.22,24.22,24.22,24.22,93.00288917919345,572386.1344926368
11,11,24.3,0.0,10247.059048438321,22.697630158148165,22.91234810266511,24.22,24.22,24.22,24.22,24.22,24.22,93.00288917919345,576439.3990589663
12,12,24.24166666666667,0.0,10247.059048438321,22.692890424683515,22.91559166349317,24.19,24.19,24.19,24.19,24.19,24.19,93.00288917919345,567037.2631000704
13,13,24.18333333333333,0.0,10247.059048438321,22.692684155383574,22.915807677368804,24.19,24.19,24.19,24.19,24.19,24.19,93.00288917919345,574926.1347571041
14,14,24.125,0.0,10247.059048438321,22.69312930509006,22.91469453428355,24.19,24.19,24.19,24.19,24.19,24.19,93.00288917919345,570828.3490501798
15,15,24.06666666666667,0.0,10247.059048438321,22.702282375548183,22.91363753515861,24.24,24.24,24.24,24.24,24.24,24.24,93.00288917919345,584356.3522292763
16,16,24.00833333333333,0.0,10247.059048438321,22.703274906350213,22.914730586594853,24.24,24.24,24.24,24.24,24.24,24.24,93.00288917919345,570016.4926935069
17,17,23.95000000000001,0.0,10247.059048438321,22.703640643552227,22.91633219733862,24.24,24.24,24.24,24.24,24.24,24.24,93.00288917919345,576737.7632545878
18,18,23.89166666666667,0.0,10247.059048438321,22.749545361637413,22.917208604110375,24.5,24.5,24.5,24.5,24.5,24.5,93.00288917919345,643348.8099980339
19,19,23.833333333333336,0.0,10247.059048438321,22.752861336524663,22.92645632004313,24.5,24.5,24.5,24.5,24.5,24.5,93.00288917919345,569104.518322224
20,20,23.77500000000001,0.0,10247.059048438321,22.75349881613939,22.936775972081584,24.5,24.5,24.5,24.5,24.5,24.5,93.00288917919345,605213.7371290623
21,21,23.71666666666667,0.0,10247.059048438321,22.728987714373698,22.94310665890315,24.36,24.36,24.36,24.36,24.36,24.36,93.00288917919345,559996.191962305
22,22,23.65833333333333,0.0,10247.059048438321,22.727585508161702,22.940426988124905,24.36,24.36,24.36,24.36,24.36,24.36,93.00288917919345,600552.9293324698
23,23,23.6,0.0,10247.059048438321,22.727582597574983,22.934870783964485,24.36,24.36,24.36,24.36,24.36,24.36,93.00288917919345,580930.1019222315
24,24,23.541666666666664,0.0,10247.059048438321,22.74022115234889,22.930823732280178,24.43,24.43,24.43,24.43,24.43,24.43,93.00288917919345,603642.4753872774
25,25,23.48333333333333,0.0,10247.059048438321,22.741262747746305,22.93136801026214,24.43,24.43,24.43,24.43,24.43,24.43,93.00288917919345,583639.8239960312
26,26,23.425000000000008,0.0,10247.059048438321,22.741436809201666,22.93342467146021,24.43,24.43,24.43,24.43,24.43,24.43,93.00288917919345,593764.828801595
27,27,23.36666666666667,0.0,10247.059048438321,22.77309888860669,22.93466486597372,24.61,24.61,24.61,24.61,24.61,24.61,93.00288917919345,639702.6850408571
28,28,23.30833333333333,0.0,10247.059048438321,22.775549225703227,22.94112650236416,24.61,24.61,24.61,24.61,24.61,24.61,93.00288917919345,588711.9433523729
29,29,23.25,0.0,10247.059048438321,22.775824902685123,22.94802883246279,24.61,24.61,24.61,24.61,24.61,24.61,93.00288917919345,613413.6349243325
30,30,23.19166666666667,0.0,10247.059048438321,22.79882863250934,22.952060693664322,24.74,24.74,24.74,24.74,24.74,24.74,93.00288917919345,643969.346109751
31,31,23.13333333333333,0.0,10247.059048438321,22.80053610407003,22.957998850959225,24.74,24.74,24.74,24.74,24.74,24.74,93.00288917919345,606546.7775308564
32,32,23.075,0.0,10247.059048438321,22.80077476301352,22.963292009095078,24.74,24.74,24.74,24.74,24.74,24.74,93.00288917919345,624473.5312500912
33,33,23.01666666666667,0.0,10247.059048438321,22.74313013817815,22.963319631691927,24.36,24.36,24.36,24.36,24.36,24.36,93.70008957651496,588802.8429711801
34,34,22.95833333333333,0.0,10247.059048438321,22.729696969425692,22.949461960808158,24.36,24.36,24.36,24.36,24.36,24.36,93.00288917919345,633196.1718870553
35,35,22.9,0.0,10247.059048438321,22.72983147553275,22.934719533195768,24.36,24.36,24.36,24.36,24.36,24.36,93.00288917919345,574049.9869950569
36,36,22.841666666666665,0.0,10247.059048438321,22.749080134302343,22.925856303215884,24.47,24.47,24.47,24.47,24.47,24.47,93.00288917919345,616361.6332562807
37,37,22.78333333333333,0.0,10247.059048438321,22.75013482147445,22.92597808312697,24.47,24.47,24.47,24.47,24.47,24.47,93.00288917919345,585305.4662531201
38,38,22.725,0.0,10247.059048438321,22.750239596112596,22.928973885791716,24.47,24.47,24.47,24.47,24.47,24.47,93.00288917919345,601533.7860819356
39,39,22.66666666666667,0.0,10247.059048438321,22.792423338661568,22.93078758714261,24.71,24.71,24.71,24.71,24.71,24.71,93.00288917919345,662839.0579176814
40,40,22.60833333333333,0.0,10247.059048438321,22.795171757645434,22.93937023394086,24.71,24.71,24.71,24.71,24.71,24.71,93.00288917919345,594760.6680181536
41,41,22.55,0.0,10247.059048438321,22.795409214724675,22.948436291349243,24.71,24.71,24.71,24.71,24.71,24.71,93.00288917919345,628408.9993590638
42,42,22.49166666666667,0.0,10247.059048438321,22.80231127285945,22.95367706069623,24.75,24.75,24.75,24.75,24.75,24.75,93.00288917919345,632735.0797020054
43,43,22.43333333333333,0.0,10247.059048438321,22.80286694585689,22.956701434687876,24.75,24.75,24.75,24.75,24.75,24.75,93.00288917919345,621505.4714708332
44,44,22.375,0.0,10247.059048438321,22.80286508491437,22.958133520616173,24.75,24.75,24.75,24.75,24.75,24.75,93.00288917919345,626920.0973877985
45,45,22.31666666666667,0.0,10247.059048438321,22.843381728486644,22.95843282512657,24.98,24.98,24.98,24.98,24.98,24.98,93.00288917919345,689204.4046352818
46,46,22.25833333333333,0.0,10247.059048438321,22.846296363557528,22.96627955969303,24.98,24.98,24.98,24.98,24.98,24.98,93.00288917919345,624038.3429316856
47,47,22.2,0.0,10247.059048438321,22.846647978315115,22.97522183171288,24.98,24.98,24.98,24.98,24.98,24.98,93.00288917919345,656002.9415630315
48,48,22.216666666666665,0.0,10247.059048438321,22.83432761346202,22.981042678641074,24.91,24.91,24.91,24.91,24.91,24.91,93.00288917919345,629283.1237475396
49,49,22.23333333333333,0.0,10247.059048438321,22.833673339773288,22.981215193320516,24.91,24.91,24.91,24.91,24.91,24.91,93.00288917919345,648679.265139221
50,50,22.25,0.0,10247.059048438321,22.833818998500217,22.979374305854375,24.91,24.91,24.91,24.91,24.91,24.91,93.00288917919345,638236.3980857129
51,51,22.26666666666667,0.0,10247.059048438321,22.779306428696152,22.978172052710363,24.6,24.6,24.6,24.6,24.6,24.6,93.00288917919345,553828.1767530525
52,52,22.28333333333333,0.0,10247.059048438321,22.775757816766163,22.966982699155864,24.6,24.6,24.6,24.6,24.6,24.6,93.00288917919345,644000.4666159562
53,53,22.3,0.0,10247.059048438321,22.7757899463705,22.95458983271103,24.6,24.6,24.6,24.6,24.6,24.6,93.00288917919345,600790.2348860035
54,54,22.316666666666666,0.0,10247.059048438321,22.863580169484987,22.960323398829928,25.0,25.0,25.0,25.0,25.0,25.0,93.60068960727872,780164.8050587585
55,55,22.33333333333333,0.0,10247.059048438321,22.85167498709406,22.97397023043898,25.0,25.0,25.0,25.0,25.0,25.0,93.00288917919345,599654.7472870395
56,56,22.35,0.0,10247.059048438321,22.851421772937666,22.98455224347876,25.0,25.0,25.0,25.0,25.0,25.0,93.00288917919345,660955.3767912294
57,57,22.36666666666667,12.666666666666664,10247.059048438321,22.78629573251107,22.983453883851727,24.59,24.59,24.59,24.59,24.59,24.59,93.53986802296156,611661.5716587739
