,Unnamed: 0,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
0,0,-2.291666666666667,0.0,10247.059048438321,21.313527136958026,20.188175524218046,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,146.79410273208543,1536900.841266333
1,1,-1.7833333333333337,0.0,10247.059048438321,21.98676086297448,20.82217735984813,24.020000000000003,24.020000000000003,24.020000000000003,24.020000000000003,24.020000000000003,24.020000000000003,146.7313299132934,1427854.8918303146
2,2,-1.2749999999999997,0.0,10247.059048438321,22.0593221546392,21.025769490394303,24.04,24.04,24.04,24.04,24.04,24.04,146.12487259561942,1449591.656722325
3,3,-0.7666666666666668,0.0,10247.059048438321,22.014453803522734,21.20743406507577,24.07,24.07,24.07,24.07,24.07,24.07,146.79410273208543,1446539.830752461
4,4,-0.2583333333333331,0.0,10247.059048438321,22.087469898976163,21.33380118672919,24.09,24.09,24.09,24.09,24.09,24.09,146.79410273208546,1410462.9536891268
5,5,0.25,0.0,10247.059048438321,22.173869923149738,21.418228584530922,24.11,24.11,24.11,24.11,24.11,24.11,146.79410273208543,1411207.773129681
6,6,0.7583333333333335,0.0,10247.059048438321,22.18429606017308,21.451910930770183,24.13,24.13,24.13,24.13,24.13,24.13,146.74480317074423,1410332.5068739855
7,7,1.2666666666666664,0.0,10247.059048438321,22.22401681098079,21.52018882350778,24.15,24.15,24.15,24.15,24.15,24.15,146.7489900247762,1409366.1594779987
8,8,1.7749999999999997,0.0,10247.059048438321,22.24680986036353,21.558526696123053,24.17,24.17,24.17,24.17,24.17,24.17,146.71795715284338,1408196.7311846463
9,9,2.2833333333333337,0.0,10247.059048438321,22.251719667463984,21.580285006055842,24.19,24.19,24.19,24.19,24.19,24.19,145.7181376123893,1398700.3462438316
10,10,2.791666666666667,0.0,10247.059048438321,22.26081943840981,21.590539762575183,24.22,24.22,24.22,24.22,24.22,24.22,145.01264715599208,1391629.3197348616
11,11,3.3,0.0,10247.059048438321,22.25413323273677,21.590906988973174,24.24,24.24,24.24,24.24,24.24,24.24,143.59716293908468,1376940.0745773998
12,12,3.208333333333333,0.0,10247.059048438321,22.262299398611738,21.593959950897695,24.26,24.26,24.26,24.26,24.26,24.26,143.40786649839183,1374936.739632291
13,13,3.1166666666666667,0.0,10247.059048438321,22.267635875776858,21.599587787178702,24.28,24.28,24.28,24.28,24.28,24.28,143.18396574290787,1372833.5469727956
14,14,3.025,0.0,10247.059048438321,22.274656342985686,21.60534150916846,24.3,24.3,24.3,24.3,24.3,24.3,143.11310332483401,1372538.0173506837
15,15,2.9333333333333336,0.0,10247.059048438321,22.28127056313695,21.6113887666122,24.32,24.32,24.32,24.32,24.32,24.32,143.04661006957485,1372036.838749965
16,16,2.8416666666666663,0.0,10247.059048438321,22.28869047390961,21.61789726309457,24.34,24.34,24.34,24.34,24.34,24.34,143.0642417517895,1372793.5358586041
17,17,2.75,0.0,10247.059048438321,22.296472049824963,21.624326146150594,24.36,24.36,24.36,24.36,24.36,24.36,143.15318646285382,1374064.5671938942
18,18,2.658333333333333,0.0,10247.059048438321,22.30336223956496,21.630838167653813,24.38,24.38,24.38,24.38,24.38,24.38,143.18532725425942,1375065.5603167152
19,19,2.566666666666667,0.0,10247.059048438321,22.311698936924554,21.637644942047164,24.4,24.4,24.4,24.4,24.4,24.4,143.3333630397853,1377274.3110231205
20,20,2.475,0.0,10247.059048438321,22.319991523282386,21.64477102631515,24.42,24.42,24.42,24.42,24.42,24.42,143.4964154301912,1379268.7811240577
21,21,2.3833333333333333,0.0,10247.059048438321,22.32690637128764,21.651515797457193,24.44,24.44,24.44,24.44,24.44,24.44,143.58871952194005,1380984.8635567636
22,22,2.291666666666667,0.0,10247.059048438321,22.33225828307872,21.656183269406338,24.46,24.46,24.46,24.46,24.46,24.46,143.4833093573559,1380324.0804566166
23,23,2.2,0.0,10247.059048438321,22.342240437986888,21.662349372101396,24.48,24.48,24.48,24.48,24.48,24.48,143.8336512769705,1385086.5149359815
24,24,2.1083333333333334,0.0,10247.059048438321,22.368732458615465,21.677405051875194,24.5,24.5,24.5,24.5,24.5,24.5,145.0685378125631,1399240.8167183965
25,25,2.0166666666666666,0.0,10247.059048438321,22.363633520216457,21.68540864342608,24.52,24.52,24.52,24.52,24.52,24.52,144.6275975170636,1394981.2126313532
26,26,1.9250000000000005,0.0,10247.059048438321,22.37689107751001,21.69169428544414,24.54,24.54,24.54,24.54,24.54,24.54,145.2649097834512,1401973.403086563
27,27,1.8333333333333337,0.0,10247.059048438321,22.41361739085305,21.70671744318972,24.56,24.56,24.56,24.56,24.56,24.56,146.79410273208546,1419353.5210423446
28,28,1.7416666666666667,0.0,10247.059048438321,22.4180289759379,21.72092718928071,24.57,24.57,24.57,24.57,24.57,24.57,146.79410273208543,1420645.227202804
29,29,1.65,0.0,10247.059048438321,22.421864777387547,21.729658699050216,24.59,24.59,24.59,24.59,24.59,24.59,146.79410273208546,1422140.3902822281
30,30,1.5583333333333331,0.0,10247.059048438321,22.425533364427306,21.734025300049034,24.61,24.61,24.61,24.61,24.61,24.61,146.79410273208543,1423465.0697232531
