Time,CAV_BAS:DesPer 1:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Heat Cap [W],CAV_BAS:DesPer 1:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Sens Cool Cap [W],CAV_BAS:DesPer 1:Des Tot Cool Cap [W],CAV_BAS:DesPer 2:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Heat Cap [W],CAV_BAS:DesPer 2:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Sens Cool Cap [W],CAV_BAS:DesPer 2:Des Tot Cool Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Mass Flow [kg/s],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Cool Mass Flow [kg/s],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Sens Cool Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Tot Cool Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Mass Flow [kg/s],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Cool Mass Flow [kg/s],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Sens Cool Cap [W],DATACENTER_BASEMENT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Tot Cool Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Mass Flow [kg/s],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Cool Mass Flow [kg/s],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Sens Cool Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Tot Cool Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Mass Flow [kg/s],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Cool Mass Flow [kg/s],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Sens Cool Cap [W],DATACENTER_BOT_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Tot Cool Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Mass Flow [kg/s],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Cool Mass Flow [kg/s],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Sens Cool Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Tot Cool Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Mass Flow [kg/s],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Cool Mass Flow [kg/s],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Sens Cool Cap [W],DATACENTER_MID_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Tot Cool Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Mass Flow [kg/s],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Heat Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Cool Mass Flow [kg/s],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Sens Cool Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 1:Des Tot Cool Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Mass Flow [kg/s],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Heat Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Cool Mass Flow [kg/s],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Sens Cool Cap [W],DATACENTER_TOP_ZN_6 ZN PSZ-AC DATA CENTER:DesPer 2:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Tot Cool Cap [W]
00:05:00,1.437664E+00,0.000000E+00,3.896667E+00,4.648361E+04,6.955937E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.555025E+01,3.645763E+05,3.703024E+05,0.000000E+00,0.000000E+00,2.410325E+01,3.439291E+05,3.493309E+05,0.000000E+00,0.000000E+00,5.494959E-01,7.840753E+03,7.963901E+03,0.000000E+00,0.000000E+00,4.031070E-01,5.751930E+03,5.842271E+03,0.000000E+00,0.000000E+00,4.700788E+00,6.707551E+04,6.812900E+04,0.000000E+00,0.000000E+00,2.404184E+00,3.430528E+04,3.484409E+04,0.000000E+00,0.000000E+00,4.839063E-01,6.904855E+03,7.013304E+03,0.000000E+00,0.000000E+00,2.063821E-01,2.944864E+03,2.991116E+03,1.824298E+00,0.000000E+00,1.049794E+01,1.237072E+05,1.735449E+05,2.299329E+00,5.406572E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.832266E+05,8.154441E+01,9.213264E+05,1.014150E+06,3.891525E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.401688E+00,1.113681E+05,1.633308E+05,5.439413E+00,5.414055E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:10:00,1.437664E+00,0.000000E+00,3.891735E+00,4.635301E+04,6.937986E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554966E+01,3.645679E+05,3.702938E+05,0.000000E+00,0.000000E+00,2.410337E+01,3.439307E+05,3.493326E+05,0.000000E+00,0.000000E+00,5.493456E-01,7.838607E+03,7.961722E+03,0.000000E+00,0.000000E+00,4.031288E-01,5.752241E+03,5.842587E+03,0.000000E+00,0.000000E+00,4.699081E+00,6.705115E+04,6.810427E+04,0.000000E+00,0.000000E+00,2.404223E+00,3.430584E+04,3.484466E+04,0.000000E+00,0.000000E+00,4.836168E-01,6.900724E+03,7.009108E+03,0.000000E+00,0.000000E+00,2.063821E-01,2.944864E+03,2.991117E+03,1.824298E+00,0.000000E+00,1.048262E+01,1.233759E+05,1.731543E+05,2.299075E+00,5.405974E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.833302E+05,8.137522E+01,9.193192E+05,1.011400E+06,3.891461E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.374413E+00,1.109023E+05,1.628034E+05,5.439410E+00,5.414057E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:15:00,1.437664E+00,0.000000E+00,3.886811E+00,4.622250E+04,6.919442E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554907E+01,3.645595E+05,3.702853E+05,0.000000E+00,0.000000E+00,2.410348E+01,3.439323E+05,3.493342E+05,0.000000E+00,0.000000E+00,5.491981E-01,7.836503E+03,7.959584E+03,0.000000E+00,0.000000E+00,4.031506E-01,5.752553E+03,5.842903E+03,0.000000E+00,0.000000E+00,4.697406E+00,6.702725E+04,6.807999E+04,0.000000E+00,0.000000E+00,2.404262E+00,3.430640E+04,3.484522E+04,0.000000E+00,0.000000E+00,4.833306E-01,6.896640E+03,7.004960E+03,0.000000E+00,0.000000E+00,2.063821E-01,2.944865E+03,2.991117E+03,1.824298E+00,0.000000E+00,1.046739E+01,1.230458E+05,1.727466E+05,2.298821E+00,5.405378E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.834337E+05,8.120719E+01,9.173251E+05,1.008466E+06,3.891397E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.347276E+00,1.104381E+05,1.622619E+05,5.439407E+00,5.414060E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:20:00,1.437664E+00,0.000000E+00,3.881896E+00,4.609209E+04,6.901119E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554849E+01,3.645512E+05,3.702769E+05,0.000000E+00,0.000000E+00,2.410359E+01,3.439340E+05,3.493358E+05,0.000000E+00,0.000000E+00,5.490531E-01,7.834434E+03,7.957483E+03,0.000000E+00,0.000000E+00,4.031725E-01,5.752865E+03,5.843220E+03,0.000000E+00,0.000000E+00,4.695760E+00,6.700376E+04,6.805613E+04,0.000000E+00,0.000000E+00,2.404301E+00,3.430695E+04,3.484578E+04,0.000000E+00,0.000000E+00,4.830474E-01,6.892600E+03,7.000856E+03,0.000000E+00,0.000000E+00,2.063822E-01,2.944865E+03,2.991118E+03,1.824298E+00,0.000000E+00,1.045227E+01,1.227166E+05,1.723449E+05,2.298568E+00,5.404782E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.835373E+05,8.104030E+01,9.153437E+05,1.005584E+06,3.891334E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.320276E+00,1.099753E+05,1.617254E+05,5.439404E+00,5.414062E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:25:00,1.437664E+00,0.000000E+00,3.876990E+00,4.596177E+04,6.883356E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554791E+01,3.645429E+05,3.702685E+05,0.000000E+00,0.000000E+00,2.410370E+01,3.439356E+05,3.493375E+05,0.000000E+00,0.000000E+00,5.489104E-01,7.832398E+03,7.955415E+03,0.000000E+00,0.000000E+00,4.031943E-01,5.753177E+03,5.843537E+03,0.000000E+00,0.000000E+00,4.694138E+00,6.698062E+04,6.803263E+04,0.000000E+00,0.000000E+00,2.404340E+00,3.430750E+04,3.484634E+04,0.000000E+00,0.000000E+00,4.827670E-01,6.888599E+03,6.996792E+03,0.000000E+00,0.000000E+00,2.063822E-01,2.944866E+03,2.991119E+03,1.824298E+00,0.000000E+00,1.043723E+01,1.223886E+05,1.719574E+05,2.298315E+00,5.404187E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.836408E+05,8.087452E+01,9.133748E+05,1.002844E+06,3.891271E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.293410E+00,1.095142E+05,1.612010E+05,5.439401E+00,5.414064E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:30:00,1.437664E+00,0.000000E+00,3.872091E+00,4.583154E+04,6.866175E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554733E+01,3.645347E+05,3.702601E+05,0.000000E+00,0.000000E+00,2.410382E+01,3.439372E+05,3.493391E+05,0.000000E+00,0.000000E+00,5.487697E-01,7.830391E+03,7.953377E+03,0.000000E+00,0.000000E+00,4.032162E-01,5.753489E+03,5.843854E+03,0.000000E+00,0.000000E+00,4.692541E+00,6.695782E+04,6.800948E+04,0.000000E+00,0.000000E+00,2.404378E+00,3.430805E+04,3.484690E+04,0.000000E+00,0.000000E+00,4.824892E-01,6.884634E+03,6.992765E+03,0.000000E+00,0.000000E+00,2.063822E-01,2.944866E+03,2.991119E+03,1.824298E+00,0.000000E+00,1.042229E+01,1.220615E+05,1.715834E+05,2.298062E+00,5.403592E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.837444E+05,8.070982E+01,9.114181E+05,1.000250E+06,3.891208E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.266678E+00,1.090545E+05,1.606883E+05,5.439397E+00,5.414067E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:35:00,1.437664E+00,0.000000E+00,3.867201E+00,4.570140E+04,6.849501E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554676E+01,3.645265E+05,3.702519E+05,0.000000E+00,0.000000E+00,2.410393E+01,3.439388E+05,3.493408E+05,0.000000E+00,0.000000E+00,5.486310E-01,7.828412E+03,7.951366E+03,0.000000E+00,0.000000E+00,4.032381E-01,5.753802E+03,5.844172E+03,0.000000E+00,0.000000E+00,4.690964E+00,6.693533E+04,6.798663E+04,0.000000E+00,0.000000E+00,2.404416E+00,3.430860E+04,3.484745E+04,0.000000E+00,0.000000E+00,4.822137E-01,6.880704E+03,6.988773E+03,0.000000E+00,0.000000E+00,2.063823E-01,2.944867E+03,2.991120E+03,1.824298E+00,0.000000E+00,1.040743E+01,1.217355E+05,1.712196E+05,2.297810E+00,5.402999E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.838480E+05,8.054619E+01,9.094734E+05,9.977740E+05,3.891145E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.240075E+00,1.085962E+05,1.601851E+05,5.439394E+00,5.414069E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:40:00,1.437664E+00,0.000000E+00,3.862317E+00,4.557134E+04,6.833252E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554619E+01,3.645184E+05,3.702436E+05,0.000000E+00,0.000000E+00,2.410404E+01,3.439404E+05,3.493424E+05,0.000000E+00,0.000000E+00,5.484941E-01,7.826457E+03,7.949381E+03,0.000000E+00,0.000000E+00,4.032601E-01,5.754115E+03,5.844490E+03,0.000000E+00,0.000000E+00,4.689408E+00,6.691313E+04,6.796408E+04,0.000000E+00,0.000000E+00,2.404454E+00,3.430914E+04,3.484801E+04,0.000000E+00,0.000000E+00,4.819405E-01,6.876805E+03,6.984813E+03,0.000000E+00,0.000000E+00,2.063823E-01,2.944867E+03,2.991120E+03,1.824298E+00,0.000000E+00,1.039266E+01,1.214104E+05,1.708633E+05,2.297558E+00,5.402406E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.839515E+05,8.038359E+01,9.075403E+05,9.953910E+05,3.891083E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.213602E+00,1.081395E+05,1.596893E+05,5.439391E+00,5.414071E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:45:00,1.437664E+00,0.000000E+00,3.857441E+00,4.544135E+04,6.817363E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554563E+01,3.645104E+05,3.702354E+05,0.000000E+00,0.000000E+00,2.410416E+01,3.439420E+05,3.493440E+05,0.000000E+00,0.000000E+00,5.483588E-01,7.824527E+03,7.947420E+03,0.000000E+00,0.000000E+00,4.032820E-01,5.754428E+03,5.844808E+03,0.000000E+00,0.000000E+00,4.687871E+00,6.689119E+04,6.794179E+04,0.000000E+00,0.000000E+00,2.404492E+00,3.430968E+04,3.484856E+04,0.000000E+00,0.000000E+00,4.816694E-01,6.872937E+03,6.980885E+03,0.000000E+00,0.000000E+00,2.063823E-01,2.944868E+03,2.991121E+03,1.824298E+00,0.000000E+00,1.037797E+01,1.210863E+05,1.705129E+05,2.297306E+00,5.401814E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.840551E+05,8.022200E+01,9.056185E+05,9.930831E+05,3.891021E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.187256E+00,1.076841E+05,1.591992E+05,5.439388E+00,5.414074E+04,1.824298E+00,0.000000E+00,0.000000E+00
00:50:00,1.437664E+00,0.000000E+00,3.852571E+00,4.531143E+04,6.801789E+04,1.437664E+00,3.943892E+04,1.437664E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.554507E+01,3.645023E+05,3.702273E+05,0.000000E+00,0.000000E+00,2.410427E+01,3.439436E+05,3.493456E+05,0.000000E+00,0.000000E+00,5.482250E-01,7.822619E+03,7.945482E+03,0.000000E+00,0.000000E+00,4.033040E-01,5.754742E+03,5.845127E+03,0.000000E+00,0.000000E+00,4.686351E+00,6.686950E+04,6.791976E+04,0.000000E+00,0.000000E+00,2.404530E+00,3.431022E+04,3.484910E+04,0.000000E+00,0.000000E+00,4.814004E-01,6.869098E+03,6.976985E+03,0.000000E+00,0.000000E+00,2.063824E-01,2.944869E+03,2.991121E+03,1.824298E+00,0.000000E+00,1.036337E+01,1.207631E+05,1.701672E+05,2.297055E+00,5.401223E+04,1.824298E+00,0.000000E+00,0.000000E+00,1.824298E+01,1.841586E+05,8.006140E+01,9.037080E+05,9.908384E+05,3.890959E+01,0.000000E+00,1.824298E+01,7.268744E+04,0.000000E+00,1.824298E+00,0.000000E+00,9.161035E+00,1.072302E+05,1.587141E+05,5.439384E+00,5.414076E+04,1.824298E+00,0.000000E+00,0.000000E+00
