,on,t,tout,tdis,t_pre,hour,weekday
0,0.0,75.0466537475,60.2670857747,73.6418970744,75.3805430095,0.0,3.0
1,0.0,76.6477661133,60.1676157633,75.5283635457,77.2966567993,0.0,4.0
2,0.0,76.7677652995,57.5186922709,76.440028127,77.3691604614,0.0,0.0
3,0.0,76.9572062174,60.2398406982,76.4387308756,77.5033162435,0.0,1.0
4,0.0,76.9977661133,72.2622879028,76.8753189087,77.2980415345,0.0,2.0
5,0.0,79.2427647909,76.0170618693,80.2843185425,79.5116521199,0.0,3.0
6,0.0,74.6638748169,56.529607137,73.1445368449,75.2188741048,0.0,4.0
7,0.0,77.8249888102,64.4802800496,78.5332163493,78.4260981242,0.0,0.0
8,0.0,76.2514709692,59.5191981912,75.7057490742,77.0113258499,0.0,1.0
9,0.0,73.376732798,66.4680548448,73.3764701708,73.3678565167,0.0,2.0
10,0.0,75.3905451457,64.4725056966,74.9367401123,75.6916570028,0.0,3.0
11,0.0,74.3938842774,64.2164751689,72.7354227702,74.4722061157,0.0,4.0
12,0.0,80.056656901,73.0431310018,80.8850306193,80.3066518148,0.0,0.0
13,0.0,79.6794265747,77.4857543945,80.2211766561,79.9166534424,0.0,1.0
14,0.0,77.8660995484,71.4025258382,79.2731826782,78.2677642822,0.0,2.0
15,0.0,76.9477666219,65.5407211304,77.8183303833,77.4333226522,0.0,3.0
16,0.0,78.393321991,62.3840698242,76.6368047078,79.0933258057,0.0,4.0
17,0.0,80.4955398559,76.3137430827,80.1675511678,80.5483215332,0.0,0.0
18,0.0,78.3077641805,71.3125727336,78.4458496094,78.4799921672,0.0,1.0
19,0.0,78.3944300334,66.6413752238,79.2143676758,78.8783218384,0.0,2.0
20,0.0,74.6944274902,58.7711514791,73.0714574178,75.0466537475,1.0,3.0
21,0.0,76.0777699788,58.3983566284,74.6080505371,76.6477661133,1.0,4.0
22,0.0,76.1983225505,53.6947207133,74.4964680989,76.7677652995,1.0,0.0
23,0.0,76.5033228556,59.1333539327,75.9625798543,76.9572062174,1.0,1.0
24,0.0,76.7461008708,71.7428822835,76.5446828206,76.9977661133,1.0,2.0
25,0.0,79.0166549682,76.2968734741,80.0179257711,79.2427647909,1.0,3.0
26,0.0,74.1344314575,52.677108256,71.7822428385,74.6638748169,1.0,4.0
27,0.0,77.3110977173,63.201016744,77.6033945719,77.8249888102,1.0,0.0
28,0.0,75.4961505484,57.5702446587,74.3497185382,76.2514709692,1.0,1.0
